nct_id,title,conditions,phase,modality
NCT06830941,Efficacy and Safety of Iron Isomaltoside in the Treatment of Peritoneal Dialysis Patients with Renal Related Anemia: a Randomized Controlled Trial,Renal Anemia | Peritoneal Dialysis (PD),PHASE4,small_molecule
NCT06446310,"A Randomised, Double-Blind, Placebo-Controlled, Multicentre, Phase 3, Clinical Study of QLG2198 in Haemodialysis Adult Subjects With Moderate-to-Severe Pruritus",Uremic Pruritus,PHASE3,small_molecule
NCT06356415,"Infraclavicular Brachial Plexus Block Using Bupivacaine Alone or in Combination With Dexmedetomidine and Dexamethasone for Hand and Forearm Surgeries, A Randomized, Controlled Trial",Upper Extremity Injury,NA,small_molecule
NCT07352098,"Efficacy and Safety of Short-Term, High-Dose Vonoprazan-Based Dual Therapy Versus Standard-Dose Vonoprazan-Based Dual Therapy for Helicobacter Pylori Eradication: A Multicenter, Open-Label, Randomized Controlled Trial",Helicobacter,NA,small_molecule
NCT07250867,Safety and Efficacy of Lidocaine Versus Ketamine Infusion or Both Together as a Treatment Modality in Patient With Resistant Orofacial Pain; Double Blinded Randomized Study.,Orofacial Pain,PHASE2,small_molecule
NCT04603014,Initial Feasibility Pilot Study of Interdialytic Peritoneal Ultrafiltration to Manage Volume Status in Hemodialysis Patients,End Stage Renal Disease on Dialysis | Hemodialysis | Peritoneal Dialysis | Nonosmotic Sodium Storage,PHASE2,combination
NCT06794554,"A Phase 2, Multicentre, Open-label, Single Arm Study to Evaluate the Effectiveness and Safety of Rezafungin (as Acetate) in the Treatment of Chronic Pulmonary Aspergillosis (CPA) in Patients With Limited Treatment Options",Chronic Pulmonary Aspergillosis,PHASE2,small_molecule
NCT06234722,Modeling Tobacco Regulatory Impacts in Appalachia Using the Experimental Tobacco Marketplace,Tobacco Use | Cigarette Use,NA,small_molecule
NCT07263295,Evaluation of Diaphragmatic Function After Interscalene Brachial Plexus Block With Liposomal Bupivacaine: A Cohort Study,Diaphragmatic Function | Metacarpal Fracture | Radius Fracture | Peripheral Nerve Neurolysis | Chronic Ulcer | Upper Extremity Ligament Injury,NA,small_molecule
NCT04835480,"A Phase II, Multicenter, Randomized, Positive-Controlled, and Multi-Cohort Study of OsrHSA in Patients With Decompensated Cirrhotic Ascites",Cirrhotic Ascites,PHASE2,small_molecule
NCT05799391,"Efficacy of Soothing Cream Jel in Improving the Range of Motion and Chronic Pain at Shoulder and Elbow: A Double-blinded, Randomized, Placebo-Controlled Trial",Upper Extremity Problem,PHASE2,small_molecule
NCT06853327,Timing of Oral Ketorolac for Pain Reduction in IUD Insertion: A Double-Blind Randomized Controlled Trial,IUD Insertion Pain,PHASE2,small_molecule
NCT06569108,"A Randomized, Open-label Study to Evaluate the Efficacy and Safety of KN057 Injection Prophylaxis in Patients With Hemophilia A or B Without Inhibitors",Hemophilia A Without Inhibitor | Hemophilia B Without Inhibitor,PHASE3,small_molecule
NCT06345261,Role of Diphenhydramine in Prevention of Catheter Related Bladder Discomfort,Catheter Complications,NA,small_molecule
NCT06637189,Protocol with Progestin-primed Ovarian Stimulation (PPOS) from the Beginning of Stimulation Versus Protocol with GnRH Antagonists for Ovarian Stimulation in Patients Undergoing DUOSTIM with Embryo Accumulation for PGT-A.,Stimulation in the Ovary | Embryo | Oocyte | Oocyte Retrieval | Fertilization in Vitro | Blastocyst | PGT-A,PHASE4,small_molecule
NCT06400862,Treating Patients With Traumatic Chondral Lesions With Autologous Bone Marrow Cells Derived Engineered Tissues - Engineered Osteochondral Tissue,Traumatic Cartilage Injury,PHASE1,combination
NCT06877377,"A Pilot Randomized, Blinded, Placebo-controlled Study of the Safety and Efficacy of Natural Genome Reconstruction Technology of Hematopoietic Stem Cells in Adult Patients",Aging,NA,biologic
NCT04098003,INvestigation of the Gut microbiomE and STatin Response (INGEST),Healthy Volunteers,PHASE4,small_molecule
NCT05714072,A Phase I Study of Ruxolitinib Plus Abemaciclib for Patients With Primary or Post-polycythemia Vera/Essential Thrombocythemia Myelofibrosis,Myelofibrosis Due to and Following Polycythemia Vera,PHASE1,small_molecule
NCT06505187,Celecoxib Pain Management Following Superficial Parotidectomy: Opioid Sparing Protocol,Parotidectomy,PHASE2,small_molecule
NCT06014801,Low-Intensity Versus Medium-Intensity Continuous Kidney Replacement Therapy for Critically Ill Patients (LIMIT): a Multicenter Randomized Clinical Trial,Acute Kidney Injury Requiring Continuous Renal Replacement Therapy,PHASE2,small_molecule
NCT07424014,Optimizing Mind-Body Interactions in Respiratory Control During Operationally Relevant Environmental Stressors,Heliox | Auditory Distraction | Hot and Cold Environment,EARLY_PHASE1,small_molecule
NCT05203965,"Functional Neuroimaging of Alcoholism Vulnerability: Probing Glutamate and Reward, Using the mGluR5 Inhibitor Mavoglurant",Familial Alcoholism Vulnerability,EARLY_PHASE1,small_molecule
NCT06938347,"A Phase 3, Open-label, Multicenter, Randomized Crossover Trial Comparing the Safety and Efficacy of ASI-02 to Agitated Saline for Suspected Right-to-left Shunt",Right-To-Left Shunt,PHASE3,small_molecule
NCT04781036,The Study of Foot-skin Microbiome and Metabolomics of Thai Naval Cadets With Pitted Keratolysis,Microbial Disease | Metabolomics,NA,small_molecule
NCT05868499,Long Term Follow-up Study in Patients With Telomere Biology Disorders With Bone Marrow Failure Who Completed Study EXG-US-01,Telomere Biology Disorders With Bone Marrow Failure,PHASE1,biologic
NCT06696586,Comparison Between Effect of Systemic Fentanyl Infusion and Fentanyl Added as An Adjuvant to Lidocaine in Bier Block For Controlling Pain in Patients Undergoing Hand Surgeries,Bier Block | Hand Surgery,PHASE4,small_molecule
NCT06324396,IMProving DRug Dosing and Outcomes for Single VEntricle Patients With Fontan Associated Liver Disease,Fontan Circulation,PHASE1,small_molecule
NCT06351150,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled, Phase III Trial to Evaluate the Efficacy and Safety of Angiotensin II Injection in the Background Treatment of Catecholamines and Other Vasopressors in Chinese Adult Patients With Refractory Distributive Shock",Vasodilatory Shock,PHASE3,small_molecule
NCT04980833,A Phase II Study to Evaluate the Long-term Safety and Efficacy of Alpelisib in Patients With PIK3CA-Related Overgrowth Spectrum (PROS) Who Previously Participated in Study CBYL719F12002 (EPIK-P1),PIK3CA-related Overgrowth Spectrum (PROS),PHASE2,small_molecule
NCT06999993,Efficacy and Safety of Sodium Hyaluronate Gel Combined With Sodium Bicarbonate Versus Sodium Bicarbonate Alone in Prevention of Failed Back Surgery Syndrome (FBSS),Postdiscectomy Epidural Fibrosis | Pain,PHASE2,small_molecule
NCT05820893,BCCMA: Targeting Gut-Microbiome in Veterans Deployment Related Gastrointestinal and Liver Diseases; CMA5- Functional Metagenomics in GWI-related Gut Dysfunction,Gulf War Illness,PHASE2,small_molecule
NCT06483074,Empagliflozin on Residual Kidney Function in Incident Peritoneal Dialysis Patients: a Pilot Randomized Controlled Trial,End Stage Renal Disease on Dialysis | Peritoneal Dialysis Complication | Sodium-glucose Cotransporter-2 Inhibitor | Residual Kidney Function,PHASE2,small_molecule
NCT05930613,Efficacy of Certolizumab in Women With Unexplained Recurrent Implantation Failure: a Double-blind Randomized Controlled Trial,Recurrent Unexplained Implantation Failure,PHASE3,monoclonal_antibody
NCT06570746,"""Comparison of the Effectiveness of Conventional Radiofrequency Thermocoagulation and Chemical Ablation With Phenol on Articular Branches of Femoral and Obturator Nerves in Chronic Hip Pain""",Chronic Pain,NA,small_molecule
NCT06985472,"Orelabrutinib Combined With Zuberitamab in the Initial Treatment of MZL Single-arm, Multicenter Phase II Clinical Study",Initial MZL | Untreated MZL | BTKi | CD20,PHASE2,small_molecule
